IDH,IDL,DATA
00,80,4C2D4D0301C3BCFF
00,73,1C27175717591C3F
00,91,592F7F767F09A838
02,11,FFFE0064004A0000
02,15,2710271027102710
04,17,0000000000000000
02,30,DD00000000003E10
00,41,0061000000000000
00,81,4C24010000000000
00,80,4C2D4D0301C3BDFF
00,47,0060000000000000
02,00,270B275827580100
02,01,102D000027100000
02,15,2710271027102710
02,16,FEF9F1ECAA000000
02,30,DD00000000003E10
00,41,0061000000000000
04,30,5E60000200100040
00,82,7F08400000000000
02,30,DD00000000003E10
00,80,4C2D4D0301C3BEFF
00,73,1C2B175317591C37
00,91,592F7F557EF4A838
02,11,FFFE0064004A0000
02,15,2710271027102710
02,17,01EC01F13C500000
03,40,0A00000000000000
04,15,000000000000005F
04,17,0000000000000000
00,41,0061000000000000
02,00,270A275827580100
02,01,102D000027100000
02,30,DD00000000003E10
02,50,7D60387A80000828
02,55,200081017F630000
00,81,4C24010000000000
00,80,4C2D4D0301C3C0FF
02,15,2710271027102710
02,16,FEF9F1ECAA000000
00,41,0061000000000000
04,30,5E5E000200100040
02,30,DD00000000003E10
00,82,7F08400000000000
00,80,4C2D4D0301C3C1FF
00,91,592F7F357EF4A838
00,73,1C211759174F1C2F
02,11,FFFE0064004A0000
02,15,2710271027102710
04,17,0000000000000000
04,55,0000000000000000
02,00,270A275827580100
02,01,100C000027100000
02,30,DD00000000003E10
00,41,0061000000000000
00,81,4C24010000000000
00,80,4C2D4D0301C3C2FF
02,30,DD00000000003E10
02,15,2710271027102710
02,16,FEF9F1ECAA000000
00,41,0061000000000000
04,30,5E60000200100040
00,82,7F08400000000000
02,00,270A275827580100
02,01,100C000027100000
02,30,DD00000000003E10
00,80,4C2D4D0301C3C3FF
00,91,592F7F557EF4A838
00,73,1C23175517671C37
02,11,FFFE0064004A0000
02,15,2710271027102710
04,17,0000000000000000
00,41,0061000000000000
02,30,DD00000000003E10
00,81,4C24010000000000
00,80,4C2D4D0301C3C5FF
00,74,FFFC000000000000
02,15,2710271027102710
02,16,FEF9F1ECAA000000
02,17,01EC01F16E500000
04,15,000000000000005F
00,41,0061000000000000
04,30,5E60000200100040
02,00,270A275827580100
02,01,0FF5000027100000
02,30,DD00000000003E10
02,50,7D60382B004A0A28
02,55,200081017F630000
03,51,00000AC00C040000
03,52,000000323FFD0000
04,20,673D210000000000
04,22,0000000000000000
00,82,7F08400000000000
00,80,4C2D4D0301C3C6FF
00,91,592F7F4B7EEAA838
00,73,1C21174F17531C35
02,11,FFFE0064004A0000
02,15,2710271027102710
04,17,0000000000000000
02,30,DD00000000003E10
00,41,0061000000000000
00,81,4C24010000000000
00,80,4C2D4D0301C3C7FF
02,00,270D275827580100
02,01,0FF5000027100000
02,15,2710271027102710
02,16,FEF9F1ECAA000000
02,30,DD00000000003E10
00,41,0061000000000000
03,50,0000000000000000
04,30,5E60000200100040
00,82,7F08400000000000
02,30,DD00000000003E10
00,80,4C2D4D0301C3C8FF
00,91,592F7F4B7EDFA838
00,73,1C211751176D1C35
02,11,FFFE0064004A0000
02,15,2710271027102710
04,17,0000000000000000
00,41,0061000000000000
00,47,0060000000000000
02,00,270D275827580100
02,01,0FDB000027100000
02,30,DD00000000003E10
