IDH,IDL
00,80
00,73
00,91
02,11
02,15
04,17
02,30
00,41
00,81
00,80
00,47
02,00
02,01
02,15
02,16
02,30
00,41
04,30
00,82
02,30
00,80
00,73
00,91
02,11
02,15
02,17
03,40
04,15
04,17
00,41
02,00
02,01
02,30
02,50
02,55
00,81
00,80
02,15
02,16
00,41
04,30
02,30
00,82
00,80
00,91
00,73
02,11
02,15
04,17
04,55
02,00
02,01
02,30
00,41
00,81
00,80
02,30
02,15
02,16
00,41
04,30
00,82
02,00
02,01
02,30
00,80
00,91
00,73
02,11
02,15
04,17
00,41
02,30
00,81
00,80
00,74
02,15
02,16
02,17
04,15
00,41
04,30
02,00
02,01
02,30
02,50
02,55
03,51
03,52
04,20
04,22
00,82
00,80
00,91
00,73
02,11
02,15
04,17
02,30
00,41
00,81
00,80
02,00
02,01
02,15
02,16
02,30
00,41
03,50
04,30
00,82
02,30
00,80
00,91
00,73
02,11
02,15
04,17
00,41
00,47
02,00
02,01
02,30
00,81
00,80
02,15
02,16
00,41
02,30
04,30
00,82
00,80
00,91
00,73
02,11
02,15
02,17
03,40
04,15
04,17
02,50
02,00
02,01
02,30
02,55
00,41
00,81
00,80
02,30
02,15
02,16
00,41
04,30
00,82
02,00
02,01
02,30
00,80
04,55
00,73
00,91
02,11
02,15
04,17
00,41
02,30
00,81
00,80
02,15
02,16
00,41
02,00
02,01
02,30
04,30
00,82
00,80
00,91
00,73
02,11
02,15
04,17
02,30
00,41
00,81
00,80
02,50
00,74
02,00
02,01
02,15
02,16
02,17
02,30
02,55
04,15
04,20
04,22
00,41
04,30
00,82
02,30
00,80
00,91
00,73
02,11
02,15
04,17
00,41
02,00
02,01
02,30
00,81
03,C4
00,80
02,15
02,16
00,41
03,50
04,30
02,30
00,82
00,80
00,91
00,73
02,11
02,15
04,17
00,47
02,00
02,01
02,30
00,41
00,81
00,80
02,30
02,15
02,16
00,41
04,30
00,82
02,50
02,00
02,01
02,30
02,55
00,80
00,91
00,73
02,11
02,15
02,17
03,40
04,15
04,17
00,41
02,30
00,81
00,80
02,15
02,16
00,41
04,30
02,00
02,01
02,30
00,82
00,80
00,91
00,73
02,11
02,15
04,17
04,55
02,30
00,41
00,81
00,80
02,00
02,01
02,15
02,16
02,30
00,41
04,30
00,82
02,30
00,80
00,91
00,73
02,11
02,15
04,17
00,41
02,50
02,00
02,01
02,30
02,55
04,20
04,22
00,81
00,80
00,74
02,15
02,16
02,17
04,15
00,41
04,30
02,30
00,82
00,80
00,91
00,73
02,11
02,15
04,17
02,00
00,41
02,01
02,30
00,81
00,80
02,15
02,16
02,30
00,41
03,50
04,30
00,82
00,47
02,00
02,01
02,30
00,80
00,91
00,73
02,11
02,15
04,17
00,41
02,30
00,81
00,80
02,15
02,16
00,41
04,30
02,50
02,00
02,01
02,30
02,55
00,82
00,80
00,91
00,73
02,11
02,15
02,17
03,40
04,15
04,17
02,30
00,41
00,81
00,80
02,65
02,00
02,01
02,15
02,16
02,30
04,53
00,41
04,30
00,82
02,30
00,80
04,55
00,73
00,91
02,11
02,15
04,17
00,41
02,00
02,01
02,30
00,81
00,80
02,15
02,16
00,41
04,30
02,30
00,82
00,80
00,91
00,73
02,11
02,15
04,17
02,50
02,00
02,01
02,30
02,55
00,41
04,20
04,22
00,81
00,80
00,74
02,15
02,16
02,17
02,30
04,15
00,41
04,30
00,82
02,00
02,01
02,30
00,80
00,91
00,73
02,11
02,15
04,17
00,41
02,30
00,81
03,C4
00,80
02,15
02,16
00,41
03,50
04,30
00,47
02,00
02,01
02,30
00,82
00,80
00,91
00,73
02,11
02,15
04,17
02,30
00,41
00,81
00,80
02,50
02,15
02,16
02,00
02,01
02,30
02,55
00,41
04,30
00,82
02,30
00,80
00,91
00,73
02,11
02,15
02,17
03,40
04,15
04,17
04,54
00,41
02,00
02,01
02,30
00,81
00,80
02,15
02,16
00,41
04,30
02,30
00,82
00,80
00,91
04,55
00,73
02,11
02,15
04,17
00,41
02,00
02,01
02,30
00,81
00,80
02,15
02,16
02,30
00,41
04,30
00,82
02,50
02,00
02,01
02,30
02,55
04,20
00,80
04,22
00,91
00,73
02,11
02,15
04,17
04,23
04,FF
00,41
02,30
00,81
00,80
00,74
02,15
02,16
02,17
04,15
00,41
04,30
02,00
02,01
02,30
00,82
00,80
00,91
00,73
02,11
02,15
04,17
02,30
00,41
00,81
00,80
02,15
00,47
02,00
02,01
02,16
02,30
00,41
03,50
04,30
00,82
02,30
00,80
00,91
00,73
02,11
02,15
04,17
00,41
02,50
02,00
02,01
02,30
02,55
00,81
00,80
02,15
02,16
00,41
04,30
02,30
00,82
00,80
00,91
00,73
02,11
02,15
02,17
03,40
04,15
04,17
02,00
00,41
02,01
02,30
00,81
00,80
02,15
02,16
02,30
00,41
04,30
00,82
02,00
02,01
02,30
00,80
00,91
04,55
00,73
02,11
02,15
04,17
00,41
02,30
00,81
00,80
02,15
02,16
00,41
04,30
02,50
02,00
02,01
02,30
02,55
04,20
04,22
00,82
00,80
00,91
00,73
02,11
02,15
04,17
00,41
02,30
00,81
00,80
00,74
02,15
02,00
02,01
02,16
02,17
02,30
03,51
03,52
00,41
04,15
04,30
00,82
02,30
00,80
00,91
00,73
02,11
02,15
04,17
00,41
00,47
02,00
02,01
02,30
00,81
03,C4
00,80
02,15
02,16
00,41
03,50
04,30
02,30
00,82
00,80
00,91
00,73
02,11
02,15
04,17
02,50
00,41
02,00
02,01
02,30
02,55
00,81
00,80
02,15
02,16
02,30
00,41
04,30
00,82
02,00
02,01
02,30
00,80
00,91
03,40
00,73
02,11
02,15
02,17
04,15
04,17
00,41
02,30
00,81
00,80
02,15
02,16
00,41
04,30
02,00
02,01
02,30
00,82
00,80
00,91
04,55
00,73
02,11
02,15
04,17
00,41
02,30
00,81
00,80
02,50
02,15
02,16
02,00
02,01
02,30
02,55
04,20
00,41
04,22
04,30
00,82
02,30
00,80
00,91
00,73
02,11
02,15
04,17
00,41
02,00
02,01
02,30
00,81
00,80
00,74
02,15
02,16
02,17
04,15
00,41
04,30
02,30
00,82
00,80
00,91
00,73
02,11
02,15
04,17
00,41
00,47
02,00
02,01
02,30
00,81
00,80
02,15
02,16
02,30
00,41
03,50
04,30
00,82
02,50
02,00
02,01
02,30
02,55
00,80
00,91
00,73
02,11
02,15
04,17
00,41
02,30
00,81
00,80
02,15
02,16
00,41
04,30
02,00
02,01
02,30
00,82
00,80
00,91
03,40
00,73
02,11
02,15
02,17
04,15
04,17
00,41
02,30
00,81
00,80
02,15
02,16
02,00
02,01
02,30
00,41
04,30
00,82
02,30
00,80
00,91
00,73
02,11
02,15
04,17
04,55
00,41
02,50
02,00
02,01
02,30
02,55
04,20
04,22
00,81
00,80
02,15
02,16
00,41
04,30
02,30
00,82
00,80
00,91
00,73
02,11
02,15
04,17
00,41
02,00
02,01
02,30
00,81
00,80
00,74
02,15
02,16
02,17
02,30
04,15
00,41
04,30
00,82
00,47
02,00
02,01
02,30
00,80
00,91
00,73
02,11
02,15
04,17
00,41
02,30
00,81
01,0B
03,A9
03,C4
00,80
02,15
02,16
00,41
03,50
04,30
02,50
02,00
02,01
02,30
02,55
00,82
00,80
00,91
00,73
02,11
02,15
04,17
00,41
02,30
00,81
00,80
02,15
02,16
02,00
02,01
02,30
00,41
04,30
00,82
02,30
00,80
00,91
03,40
00,73
02,11
02,15
02,17
04,15
04,17
00,41
02,00
02,01
02,30
00,81
00,80
02,15
02,16
00,41
04,30
02,30
00,82
00,80
00,91
04,55
00,73
02,11
02,15
04,17
00,41
02,50
02,00
02,01
02,30
02,55
04,20
04,22
00,81
00,80
02,15
02,16
02,30
00,41
04,30
00,82
02,00
02,01
02,30
00,80
