IDL,DATA
80,4C2D4D0301C3BCFF
73,1C27175717591C3F
91,592F7F767F09A838
11,FFFE0064004A0000
15,2710271027102710
17,0000000000000000
30,DD00000000003E10
41,0061000000000000
81,4C24010000000000
80,4C2D4D0301C3BDFF
47,0060000000000000
00,270B275827580100
01,102D000027100000
15,2710271027102710
16,FEF9F1ECAA000000
30,DD00000000003E10
41,0061000000000000
30,5E60000200100040
82,7F08400000000000
30,DD00000000003E10
80,4C2D4D0301C3BEFF
73,1C2B175317591C37
91,592F7F557EF4A838
11,FFFE0064004A0000
15,2710271027102710
17,01EC01F13C500000
40,0A00000000000000
15,000000000000005F
17,0000000000000000
41,0061000000000000
00,270A275827580100
01,102D000027100000
30,DD00000000003E10
50,7D60387A80000828
55,200081017F630000
81,4C24010000000000
80,4C2D4D0301C3C0FF
15,2710271027102710
16,FEF9F1ECAA000000
41,0061000000000000
30,5E5E000200100040
30,DD00000000003E10
82,7F08400000000000
80,4C2D4D0301C3C1FF
91,592F7F357EF4A838
73,1C211759174F1C2F
11,FFFE0064004A0000
15,2710271027102710
17,0000000000000000
55,0000000000000000
00,270A275827580100
01,100C000027100000
30,DD00000000003E10
41,0061000000000000
81,4C24010000000000
80,4C2D4D0301C3C2FF
30,DD00000000003E10
15,2710271027102710
16,FEF9F1ECAA000000
41,0061000000000000
30,5E60000200100040
82,7F08400000000000
00,270A275827580100
01,100C000027100000
30,DD00000000003E10
80,4C2D4D0301C3C3FF
91,592F7F557EF4A838
73,1C23175517671C37
11,FFFE0064004A0000
15,2710271027102710
17,0000000000000000
41,0061000000000000
30,DD00000000003E10
81,4C24010000000000
80,4C2D4D0301C3C5FF
74,FFFC000000000000
15,2710271027102710
16,FEF9F1ECAA000000
17,01EC01F16E500000
15,000000000000005F
41,0061000000000000
30,5E60000200100040
00,270A275827580100
01,0FF5000027100000
30,DD00000000003E10
50,7D60382B004A0A28
55,200081017F630000
51,00000AC00C040000
52,000000323FFD0000
20,673D210000000000
22,0000000000000000
82,7F08400000000000
80,4C2D4D0301C3C6FF
91,592F7F4B7EEAA838
73,1C21174F17531C35
11,FFFE0064004A0000
15,2710271027102710
17,0000000000000000
30,DD00000000003E10
41,0061000000000000
81,4C24010000000000
80,4C2D4D0301C3C7FF
00,270D275827580100
01,0FF5000027100000
15,2710271027102710
16,FEF9F1ECAA000000
30,DD00000000003E10
41,0061000000000000
50,0000000000000000
30,5E60000200100040
82,7F08400000000000
30,DD00000000003E10
80,4C2D4D0301C3C8FF
91,592F7F4B7EDFA838
73,1C211751176D1C35
11,FFFE0064004A0000
15,2710271027102710
17,0000000000000000
41,0061000000000000
47,0060000000000000
00,270D275827580100
01,0FDB000027100000
30,DD00000000003E10
81,4C24010000000000
80,4C2D4D0301C3CAFF
15,2710271027102710
16,FEF9F1ECAA000000
41,0061000000000000
30,DD00000000003E10
30,5E60000200100040
82,7F08400000000000
80,4C2D4D0301C3CBFF
91,592F7F617EF4A838
73,1C23174F175D1C39
11,FFFE0064004A0000
15,2710271027102710
17,01EC01F1A0500000
40,0A00000000000000
15,000000000000005F
17,0000000000000000
50,7D60382B02010C28
00,270F275827580100
01,0FDB000027100000
30,DD00000000003E10
55,200081017F630000
41,0061000000000000
81,4C24010000000000
80,4C2D4D0301C3CCFF
30,DD00000000003E10
15,2710271027102710
16,FEF9F1ECAA000000
41,0061000000000000
30,5E60000200100040
82,7F08400000000000
00,270F275827580100
01,0FB5000027100000
30,DD00000000003E10
80,4C2D4D0301C3CDFF
55,0000000000000000
73,1C1D175D17671C35
91,592F7F4B7EDFA838
11,FFFE0064004A0000
15,2710271027102710
17,0000000000000000
41,0061000000000000
30,DD00000000003E10
81,4C24010000000000
80,4C2D4D0301C3CFFF
15,2710271027102710
16,FEF9F1ECAA000000
41,0061000000000000
00,270F275827580100
01,0FB5000027100000
30,DD00000000003E10
30,5E5E000200100040
82,7F08400000000000
80,4C2D4D0301C3D0FF
91,592F7F617EF4A838
73,1C1D175317531C39
11,FFFE0064004A0000
15,2710271027102710
17,0000000000000000
30,DD00000000003E10
41,0061000000000000
81,4C24010000000000
80,4C2D4D0301C3D1FF
50,7D84387A02010E28
74,FFFC000000000000
00,2714275827580100
01,0FB5000027100000
15,2710271027102710
16,FEF9F1ECAA000000
17,01EC01F1D2500000
30,DD00000000003E10
55,200081017F630000
15,000000000000005F
20,673D220000000000
22,0000000000000000
41,0061000000000000
30,5E5E000200100040
82,7F08400000000000
30,DD00000000003E10
80,4C2D4D0301C3D2FF
91,592F7F4B7ED4A838
73,1C21175117631C35
11,FFFE0064004A0000
15,2710271027102710
17,0000000000000000
41,0061000000000000
00,2714275827580100
01,0FB1000027100000
30,DD00000000003E10
81,4C24010000000000
C4,0000000000000000
80,4C2D4D0301C3D4FF
15,2710271027102710
16,FEF9F1ECAA000000
41,0061000000000000
50,0000000000000000
30,5E5E000200100040
30,DD00000000003E10
82,7F08400000000000
80,4C2D4D0301C3D5FF
91,592F7F357F09A838
73,1C25174D17631C2F
11,FFFE0064004A0000
15,2710271027102710
17,0000000000000000
47,0060000000000000
00,2714275827580100
01,0FB1000027100000
30,DD00000000003E10
41,0061000000000000
81,4C24010000000000
80,4C2D4D0301C3D6FF
30,DD00000000003E10
15,2710271027102710
16,FEF9F1ECAA000000
41,0061000000000000
30,5E5E000200100040
82,7F08400000000000
50,7D84387A00001028
00,2714275827580100
01,0FBF000027100000
30,DD00000000003E10
55,200081017F630000
80,4C2D4D0301C3D7FF
91,592F7F4B7F09A838
73,1C2B174F173F1C35
11,FFFE0064004A0000
15,2710271027102710
17,01EC01F104500000
40,0A00000000000000
15,000000000000005F
17,0000000000000000
41,0061000000000000
30,DD00000000003E10
81,4C24010000000000
80,4C2D4D0301C3D9FF
15,2710271027102710
16,FEF9F1ECAA000000
41,0061000000000000
30,5E5E000200100040
00,2715275827580100
01,0FBF000027100000
30,DD00000000003E10
82,7F08400000000000
80,4C2D4D0301C3DAFF
91,592F7F6B7EFEA838
